Scenario,Model,threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,net_benefit_gain_vs_best_default
With Symptoms,Stepwise LR,0.5,0.016991150442477877,-0.72,0.0,0.016991150442477877
With Symptoms,XGBoost,0.02,0.12302690987899585,0.12244897959183675,0.0,0.0005779302871591063
With Symptoms,XGBoost,0.03,0.11668643371955113,0.11340206185567012,0.0,0.0032843718638810165
With Symptoms,XGBoost,0.04,0.11043510324483777,0.10416666666666669,0.0,0.006268436578171083
With Symptoms,XGBoost,0.05,0.10378202142524454,0.09473684210526317,0.0,0.009045179319981361
With Symptoms,XGBoost,0.06,0.09861796271888532,0.08510638297872342,0.0,0.0135115797401619
With Symptoms,XGBoost,0.07,0.09376724712151488,0.07526881720430108,0.0,0.0184984299172138
With Symptoms,XGBoost,0.08,0.0886494805694498,0.06521739130434784,0.0,0.023432089265101957
With Symptoms,XGBoost,0.09,0.082847418068657,0.05494505494505496,0.0,0.027902363123602045
With Symptoms,XGBoost,0.1,0.07828908554572273,0.04444444444444445,0.0,0.03384464110127827
With Symptoms,XGBoost,0.11,0.07589141891220046,0.03370786516853934,0.0,0.04218355374366112
With Symptoms,XGBoost,0.12,0.07335478680611425,0.02272727272727275,0.0,0.0506275140788415
With Symptoms,XGBoost,0.13,0.06953717831349811,0.011494252873563232,0.0,0.058042925439934875
With Symptoms,XGBoost,0.14,0.06610825272689852,0.0,0.0,0.06610825272689852
With Symptoms,XGBoost,0.15,0.06255075481520041,-0.011764705882352927,0.0,0.06255075481520041
With Symptoms,XGBoost,0.16,0.05975558364938895,-0.023809523809523808,0.0,0.05975558364938895
With Symptoms,XGBoost,0.17,0.058114937626612635,-0.03614457831325302,0.0,0.058114937626612635
With Symptoms,XGBoost,0.18,0.054901791495791066,-0.04878048780487801,0.0,0.054901791495791066
With Symptoms,XGBoost,0.19,0.0504031465093412,-0.061728395061728364,0.0,0.0504031465093412
With Symptoms,XGBoost,0.2,0.04853982300884955,-0.07499999999999998,0.0,0.04853982300884955
With Symptoms,XGBoost,0.21,0.047066203651842727,-0.08860759493670883,0.0,0.047066203651842727
With Symptoms,XGBoost,0.22,0.04610846380757886,-0.10256410256410253,0.0,0.04610846380757886
With Symptoms,XGBoost,0.23,0.04433053671991725,-0.11688311688311687,0.0,0.04433053671991725
With Symptoms,XGBoost,0.24,0.04275733581741967,-0.13157894736842102,0.0,0.04275733581741967
With Symptoms,XGBoost,0.25,0.04106194690265487,-0.1466666666666666,0.0,0.04106194690265487
With Symptoms,XGBoost,0.26,0.038799330303755084,-0.16216216216216217,0.0,0.038799330303755084
With Symptoms,XGBoost,0.27,0.036637168141592916,-0.1780821917808219,0.0,0.036637168141592916
With Symptoms,XGBoost,0.28,0.03574237954768928,-0.19444444444444448,0.0,0.03574237954768928
