Scenario,Model,threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,net_benefit_gain_vs_best_default
With Symptoms,Stepwise LR,0.17,0.0581639833670967,-0.03614457831325302,0.0,0.0581639833670967
With Symptoms,Stepwise LR,0.18,0.055501834664364355,-0.04878048780487801,0.0,0.055501834664364355
With Symptoms,Stepwise LR,0.19,0.05358461706544303,-0.061728395061728364,0.0,0.05358461706544303
With Symptoms,Stepwise LR,0.2,0.05207964601769911,-0.07499999999999998,0.0,0.05207964601769911
With Symptoms,Stepwise LR,0.21,0.0502856502744483,-0.08860759493670883,0.0,0.0502856502744483
With Symptoms,Stepwise LR,0.22,0.04855457227138644,-0.10256410256410253,0.0,0.04855457227138644
With Symptoms,Stepwise LR,0.23,0.04668428916216527,-0.11688311688311687,0.0,0.04668428916216527
With Symptoms,Stepwise LR,0.24,0.043660922217047045,-0.13157894736842102,0.0,0.043660922217047045
With Symptoms,Stepwise LR,0.25,0.04117994100294986,-0.1466666666666666,0.0,0.04117994100294986
With Symptoms,Stepwise LR,0.26,0.039478593637885674,-0.16216216216216217,0.0,0.039478593637885674
With Symptoms,Stepwise LR,0.27,0.037044490241241367,-0.1780821917808219,0.0,0.037044490241241367
With Symptoms,Stepwise LR,0.28,0.03622418879056047,-0.19444444444444448,0.0,0.03622418879056047
With Symptoms,Stepwise LR,0.29,0.034171756200922346,-0.2112676056338028,0.0,0.034171756200922346
With Symptoms,Stepwise LR,0.3,0.03233881163084702,-0.2285714285714286,0.0,0.03233881163084702
With Symptoms,Stepwise LR,0.31,0.03170963190970886,-0.24637681159420294,0.0,0.03170963190970886
With Symptoms,Stepwise LR,0.32,0.030244664237376363,-0.2647058823529412,0.0,0.030244664237376363
With Symptoms,Stepwise LR,0.33,0.029539030511161003,-0.28358208955223885,0.0,0.029539030511161003
With Symptoms,Stepwise LR,0.34,0.027224456958970234,-0.3030303030303031,0.0,0.027224456958970234
With Symptoms,Stepwise LR,0.35,0.026875425459496262,-0.32307692307692304,0.0,0.026875425459496262
With Symptoms,Stepwise LR,0.36,0.026371681415929205,-0.34375,0.0,0.026371681415929205
With Symptoms,Stepwise LR,0.37,0.024582104228121928,-0.3650793650793651,0.0,0.024582104228121928
With Symptoms,Stepwise LR,0.38,0.02531544390522409,-0.3870967741935484,0.0,0.02531544390522409
With Symptoms,Stepwise LR,0.39,0.024839692441607428,-0.4098360655737705,0.0,0.024839692441607428
With Symptoms,Stepwise LR,0.4,0.024247787610619465,-0.43333333333333335,0.0,0.024247787610619465
With Symptoms,Stepwise LR,0.41,0.02357282135893206,-0.4576271186440676,0.0,0.02357282135893206
With Symptoms,Stepwise LR,0.42,0.022129996948428442,-0.482758620689655,0.0,0.022129996948428442
With Symptoms,Stepwise LR,0.43,0.021726439993789787,-0.5087719298245613,0.0,0.021726439993789787
With Symptoms,Stepwise LR,0.44,0.021946902654867255,-0.5357142857142857,0.0,0.021946902654867255
With Symptoms,Stepwise LR,0.45,0.021351568785197107,-0.5636363636363636,0.0,0.021351568785197107
With Symptoms,Stepwise LR,0.46,0.01957391019337922,-0.5925925925925926,0.0,0.01957391019337922
With Symptoms,Stepwise LR,0.47,0.01941893471364168,-0.6226415094339621,0.0,0.01941893471364168
With Symptoms,Stepwise LR,0.48,0.01880190605854323,-0.6538461538461537,0.0,0.01880190605854323
With Symptoms,Stepwise LR,0.49,0.017109144542772865,-0.6862745098039215,0.0,0.017109144542772865
