Scenario,Model,threshold,n_flagged,pct_flagged,sensitivity,sens_ci_low,sens_ci_high,specificity,spec_ci_low,spec_ci_high,ppv,ppv_ci_low,ppv_ci_high,npv,npv_ci_low,npv_ci_high,tp,fp,fn,tn,is_youden
With Symptoms,Random Forest,0.25,977,17.292035398230087,0.5221238938053098,0.4804797983146477,0.5619552203065135,0.8839267338958633,0.8723540713612948,0.8942533980305498,0.4227226202661208,0.3850129165590287,0.45859451807603757,0.9191097795848492,0.909340611123344,0.9279891626628647,413,564,378,4295,False
With Symptoms,Random Forest,0.3,714,12.63716814159292,0.42983565107458915,0.38820473644003056,0.4693750242464212,0.9230294299238526,0.9135564647720611,0.9312723176590375,0.47619047619047616,0.4312346727296088,0.5177632321726956,0.9086304700162074,0.8985793136995794,0.9179812482953494,340,374,451,4485,False
With Symptoms,Random Forest,0.4,383,6.778761061946903,0.2629582806573957,0.22588480876488456,0.3021617530642958,0.9639843589215888,0.9572044365017246,0.9696935944573923,0.5430809399477807,0.48592802338326635,0.600515856484495,0.889310803113727,0.8785626667207024,0.899816037735849,208,175,583,4684,False
With Symptoms,Random Forest,0.5,171,3.026548672566372,0.14538558786346398,0.11707542777325108,0.17509854258282873,0.9884749948549084,0.9850438184006917,0.9914722256368553,0.672514619883041,0.59258669497523,0.7461159622313984,0.8766198211352436,0.8661459869642383,0.8868554793325161,115,56,676,4803,False
With Symptoms,Neural Network,0.1,2197,38.88495575221239,0.7597977243994943,0.7246283567774936,0.7939983157712903,0.6715373533648898,0.6540724058450453,0.687274866966844,0.27355484751934456,0.2508066026758093,0.29562982295727663,0.9449753837242977,0.9354311268445772,0.9538734879162261,601,1596,190,3263,False
With Symptoms,Neural Network,0.15,1613,28.54867256637168,0.6763590391908976,0.6380426472706067,0.716085075440253,0.778143650956987,0.7634076232081607,0.7925777662025366,0.33168009919404834,0.30404424936591584,0.3599015764290222,0.936586574188754,0.9271441610515189,0.945514860683601,535,1078,256,3781,False
With Symptoms,Neural Network,0.175,1406,24.88495575221239,0.6536030341340076,0.612626877970541,0.6952763103955877,0.8170405433216711,0.8027999233452031,0.8300407758710401,0.36770981507823614,0.337441386624986,0.3981752268477553,0.9354382657869934,0.9259942470582887,0.9440717964921961,517,889,274,3970,True
With Symptoms,Neural Network,0.2,1252,22.15929203539823,0.606826801517067,0.5673996040723982,0.6501918379006678,0.8411195719283803,0.827691692699522,0.8539380923399933,0.38338658146964855,0.3515293491446538,0.41487709260436534,0.9292860391086858,0.9195133621878309,0.938264425403334,480,772,311,4087,False
With Symptoms,Neural Network,0.25,998,17.66371681415929,0.5309734513274337,0.49092536920561913,0.5752120453398548,0.8810454826095905,0.8690742485018756,0.8923204445908159,0.42084168336673344,0.3846759185644541,0.45846810506566604,0.9202493551160791,0.910575921262049,0.9294862000352356,420,578,371,4281,False
With Symptoms,Neural Network,0.3,811,14.353982300884956,0.48166877370417194,0.4407454435991462,0.5246235271170504,0.911504424778761,0.9010989666875477,0.9212297074169723,0.46979038224414305,0.4278086644036752,0.5110065401906241,0.915271750361645,0.905475383610316,0.9245176333527135,381,430,410,4429,False
